Year,oldid
1956,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1956&oldid=1094252156
1957,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1957&oldid=1094262877
1958,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1958&oldid=1094391701
1959,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1959&oldid=1093956237
1960,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1960&oldid=1094385810
1961,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1961&oldid=1094386127
1962,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1962&oldid=1093931615
1963,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1963&oldid=1091639138
1964,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1964&oldid=1093929735
1965,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1965&oldid=1094578227
1966,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1966&oldid=1093929641
1967,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1967&oldid=1093929594
1968,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1968&oldid=1093929484
1969,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1969&oldid=1093929433
1970,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1970&oldid=1093929405
1971,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1971&oldid=1093929363
1972,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1972&oldid=1093929331
1973,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1973&oldid=1093929300
1974,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1974&oldid=1093929256
1975,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1975&oldid=1093929219
1976,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1976&oldid=1093929170
1977,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1977&oldid=1093929139
1978,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1978&oldid=1093945353
1979,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1979&oldid=1093929066
1980,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1980&oldid=1094438216
1981,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1981&oldid=1093928982
1982,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1982&oldid=1093928944
1983,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1983&oldid=1093928893
1984,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1984&oldid=1093928838
1985,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1985&oldid=1093928790
1986,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1986&oldid=1093928741
1987,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1987&oldid=1093928663
1988,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1988&oldid=1093928570
1989,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1989&oldid=1093928523
1990,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1990&oldid=1093928466
1991,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1991&oldid=1093928392
1992,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1992&oldid=1093928336
1993,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1993&oldid=1093928282
1994,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1994&oldid=1093928192
1995,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1995&oldid=1093928134
1996,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1996&oldid=1094634131
1997,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1997&oldid=1093927951
1998,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1998&oldid=1094639532
1999,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_1999&oldid=1094577171
2000,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_2000&oldid=1093927699
2001,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_2001&oldid=1093927653
2002,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_2002&oldid=1093927590
2003,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_2003&oldid=1093927546
2004,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_2004&oldid=1094403378
2005,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_2005&oldid=1093912956
2006,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_2006&oldid=1094025135
2007,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_2007&oldid=1091640010
2008,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_2008&oldid=1093233773
2009,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_2009&oldid=1093241481
2010,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_2010&oldid=1094171741
2011,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_2011&oldid=1094171757
2012,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_2012&oldid=1093865098
2013,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_2013&oldid=1092509934
2014,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_2014&oldid=1093233785
2015,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_2015&oldid=1091640356
2016,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_2016&oldid=1094222809
2017,https://en.wikipedia.org/w/index.php?title=Eurovision_Song_Contest_2017&oldid=1093651539
