,Year,Order,Country,Artist,Song,Language,Place,Points,SF,SF_Order,SF_Place,SF_Points
0,1956,1,Netherlands,Jetty Paerl,De vogels van Holland,Dutch,0,-1,,,,
1,1956,2,Switzerland,Lys Assia,Das alte Karussell,German,0,-1,,,,
2,1956,3,Belgium,Fud Leclerc,Messieurs les noyés de la Seine,French,0,-1,,,,
3,1956,4,Germany,Walter Andreas Schwarz,Im Wartesaal zum großen Glück,German,0,-1,,,,
4,1956,5,France,Mathé Altéry,Le temps perdu,French,0,-1,,,,
5,1956,6,Luxembourg,Michèle Arnaud,Ne crois pas,French,0,-1,,,,
6,1956,7,Italy,Franca Raimondi,Aprite le finestre,Italian,0,-1,,,,
7,1956,8,Netherlands,Corry Brokken,Voorgoed voorbij,Dutch,0,-1,,,,
8,1956,9,Switzerland,Lys Assia,Refrain,French,1,-1,,,,
9,1956,10,Belgium,Mony Marc,Le plus beau jour de ma vie,French,0,-1,,,,
10,1956,11,Germany,Freddy Quinn,So geht das jede Nacht,German,0,-1,,,,
11,1956,12,France,Dany Dauberson,Il est là,French,0,-1,,,,
12,1956,13,Luxembourg,Michèle Arnaud,Les amants de minuit,French,0,-1,,,,
13,1956,14,Italy,Tonina Torrielli,Amami se vuoi,Italian,0,-1,,,,
14,1957,1,Belgium,Bobbejaan Schoepen,Straatdeuntje,Dutch,8,5,,,,
15,1957,2,Luxembourg,Danièle Dupré,Amours mortes (tant de peine),French,4,8,,,,
16,1957,3,United Kingdom,Patricia Bredin,All,English,7,6,,,,
17,1957,4,Italy,Nunzio Gallo,Corde della mia chitarra,Italian,6,7,,,,
18,1957,5,Austria,Bob Martin,"Wohin, kleines Pony?",German,10,3,,,,
19,1957,6,Netherlands,Corry Brokken,Net als toen,Dutch,1,31,,,,
20,1957,7,Germany,Margot Hielscher,"Telefon, Telefon",German,4,8,,,,
21,1957,8,France,Paule Desjardins,La belle amour,French,2,17,,,,
22,1957,9,Denmark,Birthe Wilke and Gustav Winckler,Skibet skal sejle i nat,Danish,3,10,,,,
23,1957,10,Switzerland,Lys Assia,L'enfant que j'étais,French,8,5,,,,
24,1958,1,Italy,Domenico Modugno,"Nel blu, dipinto di blu",Italian,3,13,,,,
25,1958,2,Netherlands,Corry Brokken,Heel de wereld,Dutch,9,1,,,,
26,1958,3,France,André Claveau,"Dors, mon amour",French,1,27,,,,
27,1958,4,Luxembourg,Solange Berry,Un grand amour,French,9,1,,,,
28,1958,5,Sweden,Alice Babs,Lilla stjärna,Swedish,4,10,,,,
29,1958,6,Denmark,Raquel Rastenni,Jeg rev et blad ud af min dagbog,Danish,8,3,,,,
30,1958,7,Belgium,Fud Leclerc,Ma petite chatte,French,5,8,,,,
