,Year,R/O,Country,Artist,Song,Language,Points,Place,SF,SF_Order,SF_Points,SF_Place
0,1956,1,Netherlands,Jetty Paerl,De vogels van Holland,Dutch,0,0,,,,
1,1956,2,Switzerland,Lys Assia,Das alte Karussell,German,0,0,,,,
2,1956,3,Belgium,Fud Leclerc,Messieurs les noyés de la Seine,French,0,0,,,,
3,1956,4,Germany,Walter Andreas Schwarz,Im Wartesaal zum großen Glück,German,0,0,,,,
4,1956,5,France,Mathé Altéry,Le Temps perdu,French,0,0,,,,
5,1956,6,Luxembourg,Michèle Arnaud,Ne crois pas,French,0,0,,,,
6,1956,7,Italy,Franca Raimondi,Aprite le finestre,Italian,0,0,,,,
7,1956,8,Netherlands,Corry Brokken,Voorgoed voorbij,Dutch,0,0,,,,
8,1956,9,Switzerland,Lys Assia,Refrain,French,0,1,,,,
9,1956,10,Belgium,Mony Marc,Le Plus beau jour de ma vie,French,0,0,,,,
10,1956,11,Germany,Freddy Quinn,So geht das jede Nacht,German,0,0,,,,
11,1956,12,France,Dany Dauberson,Il est là,French,0,0,,,,
12,1956,13,Luxembourg,Michèle Arnaud,Les Amants de minuit,French,0,0,,,,
13,1956,14,Italy,Tonina Torrielli,Amami se vuoi,Italian,0,0,,,,
14,1957,1,Belgium,Bobbejaan Schoepen,Straatdeuntje,Dutch,5,8,,,,
15,1957,2,Luxembourg,Danièle Dupré,Amours mortes (tant de peine),French,8,4,,,,
16,1957,3,United Kingdom,Patricia Bredin,All,English,6,7,,,,
17,1957,4,Italy,Nunzio Gallo,Corde della mia chitarra,Italian,7,6,,,,
18,1957,5,Austria,Bob Martin,"Wohin, kleines Pony?",German,3,10,,,,
19,1957,6,Netherlands,Corry Brokken,Net als toen,Dutch,31,1,,,,
20,1957,7,Germany,Margot Hielscher,"Telefon, Telefon",German,8,4,,,,
21,1957,8,France,Paule Desjardins,La Belle amour,French,17,2,,,,
22,1957,9,Denmark,Birthe Wilke and Gustav Winckler,Skibet skal sejle i nat,Danish,10,3,,,,
23,1957,10,Switzerland,Lys Assia,L'Enfant que j'étais,French,5,8,,,,
24,1958,1,Italy,Domenico Modugno,"Nel blu, dipinto di blu",Italian,13,3,,,,
25,1958,2,Netherlands,Corry Brokken,Heel de wereld,Dutch,1,9,,,,
26,1958,3,France,André Claveau,"Dors, mon amour",French,27,1,,,,
27,1958,4,Luxembourg,Solange Berry,Un grand amour,French,1,9,,,,
28,1958,5,Sweden,Alice Babs,Lilla stjärna,Swedish,10,4,,,,
29,1958,6,Denmark,Raquel Rastenni,Jeg rev et blad ud af min dagbog,Danish,3,8,,,,
30,1958,7,Belgium,Fud Leclerc,Ma petite chatte,French,8,5,,,,
31,1958,8,Germany,Margot Hielscher,Für zwei Groschen Musik,German,5,7,,,,
32,1958,9,Austria,Liane Augustin,Die ganze Welt braucht Liebe,German,8,5,,,,
33,1958,10,Switzerland,Lys Assia,Giorgio,"German, Italian",24,2,,,,
34,1959,1,France,Jean Philippe,"Oui, oui, oui, oui",French,15,3,,,,
35,1959,2,Denmark,Birthe Wilke,"Uh, jeg ville ønske jeg var dig",Danish,12,5,,,,
36,1959,3,Italy,Domenico Modugno,"Piove (Ciao, ciao bambina)",Italian,9,6,,,,
37,1959,4,Monaco,Jacques Pills,Mon ami Pierrot,French,1,11,,,,
38,1959,5,Netherlands,Teddy Scholten,Een beetje,Dutch,21,1,,,,
39,1959,6,Germany,Alice and Ellen Kessler,Heute Abend wollen wir tanzen geh'n,German,5,8,,,,
40,1959,7,Sweden,Brita Borg,Augustin,Swedish,4,9,,,,
41,1959,8,Switzerland,Christa Williams,Irgendwoher,German,14,4,,,,
42,1959,9,Austria,Ferry Graf,Der K und K Kalypso aus Wien,German,4,9,,,,
43,1959,10,United Kingdom,Pearl Carr and Teddy Johnson,"Sing, Little Birdie",English,16,2,,,,
44,1959,11,Belgium,Bob Benny,Hou toch van mij,Dutch,9,6,,,,
45,1960,1,United Kingdom,Bryan Johnson,"Looking High, High, High",English,25,2,,,,
46,1960,2,Sweden,Siw Malmkvist,Alla andra får varann,Swedish,4,10,,,,
47,1960,3,Luxembourg,Camillo Felgen,So laang we's du do bast,Luxembourgish,1,13,,,,
48,1960,4,Denmark,Katy Bødtger,Det var en yndig tid,Danish,4,10,,,,
49,1960,5,Belgium,Fud Leclerc,Mon amour pour toi,French,9,6,,,,
50,1960,6,Norway,Nora Brockstedt,Voi Voi,Norwegian,11,4,,,,
51,1960,7,Austria,Harry Winter,Du hast mich so fasziniert,German,6,7,,,,
52,1960,8,Monaco,François Deguelt,Ce soir-là,French,15,3,,,,
53,1960,9,Switzerland,Anita Traversi,Cielo e terra,Italian,5,8,,,,
54,1960,10,Netherlands,Rudi Carrell,Wat een geluk,Dutch,2,12,,,,
55,1960,11,Germany,Wyn Hoop,Bonne nuit ma chérie,German,11,4,,,,
56,1960,12,Italy,Renato Rascel,Romantica,Italian,5,8,,,,
57,1960,13,France,Jacqueline Boyer,Tom Pillibi,French,32,1,,,,
58,1961,1,Spain,Conchita Bautista,Estando contigo,Spanish,8,9,,,,
59,1961,2,Monaco,Colette Deréal,"Allons, allons les enfants",French,6,10,,,,
60,1961,3,Austria,Jimmy Makulis,Sehnsucht,German,1,15,,,,
61,1961,4,Finland,Laila Kinnunen,Valoa ikkunassa,Finnish,6,10,,,,
62,1961,5,Yugoslavia,Ljiljana Petrović,Neke davne zvezde (Неке давне звезде),Serbo-Croatian,9,8,,,,
63,1961,6,Netherlands,Greetje Kauffeld,Wat een dag,Dutch,6,10,,,,
64,1961,7,Sweden,Lill-Babs,"April, april",Swedish,2,14,,,,
65,1961,8,Germany,Lale Andersen,Einmal sehen wir uns wieder,"German, French",3,13,,,,
66,1961,9,France,Jean-Paul Mauric,"Printemps, avril carillonne",French,13,4,,,,
67,1961,10,Switzerland,Franca di Rienzo,Nous aurons demain,French,16,3,,,,
68,1961,11,Belgium,Bob Benny,"September, gouden roos",Dutch,1,15,,,,
69,1961,12,Norway,Nora Brockstedt,Sommer i Palma,Norwegian,10,7,,,,
70,1961,13,Denmark,Dario Campeotto,Angelique,Danish,12,5,,,,
71,1961,14,Luxembourg,Jean-Claude Pascal,Nous les amoureux,French,31,1,,,,
72,1961,15,United Kingdom,The Allisons,Are You Sure?,English,24,2,,,,
73,1961,16,Italy,Betty Curtis,Al di là,Italian,12,5,,,,
74,1962,1,Finland,Marion Rung,Tipi-tii,Finnish,4,7,,,,
75,1962,2,Belgium,Fud Leclerc,Ton nom,French,0,13,,,,
76,1962,3,Spain,Victor Balaguer,Llámame,Spanish,0,13,,,,
77,1962,4,Austria,Eleonore Schwarz,Nur in der Wiener Luft,German,0,13,,,,
78,1962,5,Denmark,Ellen Winther,Vuggevise,Danish,2,10,,,,
79,1962,6,Sweden,Inger Berggren,Sol och vår,Swedish,4,7,,,,
80,1962,7,Germany,Conny Froboess,Zwei kleine Italiener,German,9,6,,,,
81,1962,8,Netherlands,De Spelbrekers,Katinka,Dutch,0,13,,,,
82,1962,9,France,Isabelle Aubret,Un premier amour,French,26,1,,,,
83,1962,10,Norway,Inger Jacobsen,"Kom sol, kom regn",Norwegian,2,10,,,,
84,1962,11,Switzerland,Jean Philippe,Le Retour,French,2,10,,,,
85,1962,12,Yugoslavia,Lola Novaković,Ne pali svetla u sumrak (Не пали светла у сумрак),Serbo-Croatian,10,4,,,,
86,1962,13,United Kingdom,Ronnie Carroll,Ring-a-Ding Girl,English,10,4,,,,
87,1962,14,Luxembourg,Camillo Felgen,Petit bonhomme,French,11,3,,,,
88,1962,15,Italy,Claudio Villa,"Addio, addio",Italian,3,9,,,,
89,1962,16,Monaco,François Deguelt,Dis rien,French,13,2,,,,
90,1963,1,United Kingdom,Ronnie Carroll,Say Wonderful Things,English,28,4,,,,
91,1963,2,Netherlands,Annie Palmen,Een speeldoos,Dutch,0,13,,,,
92,1963,3,Germany,Heidi Brühl,Marcel,German,5,9,,,,
93,1963,4,Austria,Carmela Corren,Vielleicht geschieht ein Wunder,"German, English",16,7,,,,
94,1963,5,Norway,Anita Thallaug,Solhverv,Norwegian,0,13,,,,
95,1963,6,Italy,Emilio Pericoli,Uno per tutte,Italian,37,3,,,,
96,1963,7,Finland,Laila Halme,Muistojeni laulu,Finnish,0,13,,,,
97,1963,8,Denmark,Grethe and Jørgen Ingmann,Dansevise,Danish,42,1,,,,
